    31.4323                59.7879                88.9850
    91.3046               150.0969               170.6848
   226.9004               231.1408               298.1821
   327.2580               330.0261               345.9866
   408.4877               427.3078               451.2653
   451.7701               456.6798               494.7976
   558.1283               567.9544               572.6204
   573.7497               585.8210               628.1654
   629.9329               631.9157               698.0474
   709.0672               715.9292               744.8026
   768.0019               774.4487               774.8031
   785.7545               797.1569               828.4392
   833.0835               884.3569               891.1520
   894.5093               908.0013               971.1015
   982.8566               984.1606               989.9963
  1010.9505              1011.1589              1011.8087
  1018.5317              1026.0787              1057.6154
  1068.2818              1085.9844              1125.4533
  1145.3183              1152.3337              1168.9696
  1183.5767              1184.7510              1245.0678
  1248.9524              1261.3939              1269.3793
  1288.0904              1323.5933              1336.8176
  1346.0130              1367.4930              1374.5026
  1374.7570              1425.3678              1469.1953
  1477.8220              1493.9231              1500.0188
  1524.6055              1531.6375              1572.4233
  1580.0103              1601.7839              1617.7996
  1640.5038              1647.9917              1654.9134
  3170.9702              3171.9791              3173.1149
  3181.8776              3184.3030              3186.5731
  3191.2745              3197.2233              3197.9890
  3209.0057              3209.2611              3215.6113
