   41.7939                56.4249                90.1669
   96.2921               142.9814               163.9854
  207.0957               229.9030               279.6314
  279.6596               309.7494               341.0603
  389.8523               411.1169               415.9369
  443.4594               446.7088               447.2453
  501.9505               540.4192               558.7356
  559.4130               567.6176               604.4914
  615.2258               628.5898               659.9536
  689.7840               690.5987               717.7940
  738.9310               740.9766               752.4884
  776.3930               781.3927               785.0154
  816.6772               831.0233               866.7542
  871.3001               880.3346               881.6257
  918.5242               959.8389               961.9352
  973.8200               976.9814               999.9718
 1007.8335              1008.4568              1020.3427
 1032.4187              1056.1244              1062.2098
 1078.1735              1125.8364              1132.2727
 1144.6617              1173.7219              1183.5379
 1194.7456              1220.7392              1245.2041
 1250.6438              1291.2069              1293.2455
 1311.7352              1344.8966              1374.8625
 1375.2827              1392.4858              1421.2926
 1426.4765              1450.3540              1452.9993
 1464.3461              1478.0392              1508.0030
 1528.3549              1552.4007              1578.3482
 1580.3460              1629.6226              1631.9161
 3169.8080              3170.7700              3181.9447
 3182.1711              3185.0631              3188.2192
 3194.0093              3195.4946              3204.2272
 3211.8023              3214.7455              3215.2026
